_time;dvc_name;src_ip;dest_ip;dest_port;application
2026-06-17T12:29:46.100+0000;IE1ENSFW01;10.136.9.238;172.30.1.12;9093;ssl
2026-06-17T12:29:43.100+0000;IE1ENSFW01;10.136.9.238;172.30.1.92;9093;ssl
2026-06-17T12:29:45.100+0000;IE1ENSFW01;10.136.9.230;172.30.1.92;9093;ssl
2026-06-17T12:29:41.100+0000;IE1ENSFW01;10.136.9.230;172.30.1.12;9093;ssl
2026-06-17T12:29:44.100+0000;IE1ENSFW01;10.204.9.49;172.30.1.12;9093;ssl
2026-06-17T12:29:42.100+0000;IE1ENSFW01;10.204.9.49;172.30.1.92;9093;ssl
2026-06-17T12:29:43.100+0000;IE1ENSFW01;10.204.249.225;10.175.218.214;9580;web-browsing
2026-06-17T11:15:03.100+0000;IE1ENSFW01;10.204.249.225;10.175.217.101;40081;web-browsing
2026-06-17T11:06:18.100+0000;IE1ENSFW01;10.204.249.225;10.175.216.101;10013;web-browsing
2026-06-17T10:57:49.100+0000;IE1ENSFW01;10.204.249.225;10.175.217.36;10013;web-browsing
2026-06-17T10:33:05.100+0000;IE1ENSFW01;10.204.249.225;10.175.217.82;10006;web-browsing
2026-06-17T10:28:36.100+0000;IE1ENSFW01;10.204.249.225;10.175.217.124;10013;web-browsing
2026-06-17T10:17:21.100+0000;IE1ENSFW01;10.204.249.225;10.175.217.149;10000;web-browsing
2026-06-17T10:12:53.100+0000;IE1ENSFW01;10.204.249.225;10.175.217.245;10002;web-browsing
2026-06-17T12:29:42.100+0000;IE1ENSFW01;10.204.9.53;172.30.1.92;9093;ssl
2026-06-17T12:29:38.100+0000;IE1ENSFW01;10.204.9.53;172.30.1.12;9093;ssl
2026-06-17T12:29:42.100+0000;IE1ENSFW01;10.204.249.187;10.175.218.214;40080;web-browsing
2026-06-17T11:14:21.100+0000;IE1ENSFW01;10.204.249.187;10.175.217.101;9580;web-browsing
2026-06-17T11:02:09.100+0000;IE1ENSFW01;10.204.249.187;10.175.216.101;10011;web-browsing
2026-06-17T10:57:11.100+0000;IE1ENSFW01;10.204.249.187;10.175.217.36;10005;web-browsing
2026-06-17T10:31:30.100+0000;IE1ENSFW01;10.204.249.187;10.175.217.82;10013;web-browsing
2026-06-17T10:26:31.100+0000;IE1ENSFW01;10.204.249.187;10.175.217.124;10000;web-browsing
2026-06-17T10:21:07.100+0000;IE1ENSFW01;10.204.249.187;10.175.217.149;8830;web-browsing
2026-06-17T12:29:39.100+0000;IE1ENSFW01;10.204.249.235;10.175.218.214;10003;web-browsing
2026-06-17T11:16:47.100+0000;IE1ENSFW01;10.204.249.235;10.175.217.101;10014;web-browsing
2026-06-17T11:05:58.100+0000;IE1ENSFW01;10.204.249.235;10.175.216.101;10008;web-browsing
2026-06-17T11:01:34.100+0000;IE1ENSFW01;10.204.249.235;10.175.217.36;3000;web-browsing
2026-06-17T10:34:06.100+0000;IE1ENSFW01;10.204.249.235;10.175.217.82;3000;web-browsing
